tenure,monthly_charges,total_charges,contract,internet_service,support_calls,payment_method,churn
8,58.75,445.88,Month-to-month,DSL,1,Bank transfer,1
35,106.35,3668.95,One year,DSL,2,Bank transfer,1
35,50.88,1848.4,One year,DSL,3,Bank transfer,0
33,49.35,1589.27,Month-to-month,DSL,1,Electronic check,0
5,46.6,257.51,Month-to-month,Fiber optic,2,Bank transfer,1
41,53.28,2151.33,Month-to-month,No,3,Credit card,0
28,75.74,2096.87,Month-to-month,No,0,Bank transfer,1
7,90.7,629.22,Month-to-month,Fiber optic,2,Credit card,1
12,86.26,1062.34,Two year,No,2,Credit card,0
34,100.77,3413.28,Month-to-month,DSL,2,Mailed check,0
33,108.59,3526.56,One year,DSL,1,Mailed check,0
48,101.61,4878.13,Month-to-month,DSL,2,Electronic check,0
23,21.89,465.24,Month-to-month,Fiber optic,3,Bank transfer,1
62,93.59,5879.88,Month-to-month,No,4,Bank transfer,1
37,40.84,1498.08,One year,Fiber optic,5,Credit card,1
44,33.29,1431.48,Month-to-month,DSL,2,Bank transfer,0
35,83.85,3033.45,Month-to-month,Fiber optic,3,Credit card,1
65,51.97,3415.28,Two year,DSL,0,Mailed check,0
47,25.71,1163.61,Month-to-month,Fiber optic,2,Electronic check,1
3,33.76,61.74,Month-to-month,Fiber optic,4,Mailed check,1
1,20.09,43.8,Month-to-month,DSL,1,Bank transfer,0
5,110.32,553.79,Month-to-month,DSL,1,Credit card,1
14,22.46,358.97,Month-to-month,Fiber optic,1,Mailed check,1
27,40.95,1072.4,Month-to-month,Fiber optic,1,Bank transfer,1
9,61.63,589.69,Month-to-month,DSL,6,Credit card,1
15,55.66,722.94,Month-to-month,Fiber optic,1,Bank transfer,1
42,111.17,4661.53,One year,No,2,Bank transfer,0
51,24.03,1194.61,One year,DSL,1,Electronic check,0
63,71.22,4464.2,Month-to-month,DSL,2,Mailed check,1
52,88.05,4573.35,Month-to-month,Fiber optic,4,Bank transfer,1
4,113.17,509.6,Month-to-month,Fiber optic,1,Bank transfer,1
23,82.04,1829.15,Month-to-month,DSL,1,Electronic check,1
15,100.38,1396.23,Month-to-month,DSL,2,Electronic check,1
43,28.37,1168.11,Month-to-month,DSL,1,Credit card,0
29,58.59,1750.35,Two year,Fiber optic,5,Bank transfer,1
36,57.39,1983.96,Month-to-month,DSL,1,Bank transfer,0
13,108.63,1383.58,Two year,Fiber optic,0,Bank transfer,0
32,35.14,1166.37,Month-to-month,No,6,Bank transfer,1
71,35.19,2495.47,Month-to-month,No,6,Electronic check,1
59,52.86,3174.93,Month-to-month,Fiber optic,1,Mailed check,1
28,25.45,610.76,Month-to-month,Fiber optic,1,Electronic check,1
66,38.25,2508.14,Month-to-month,No,2,Credit card,0
42,116.52,4960.74,Month-to-month,No,4,Electronic check,1
45,62.82,2770.48,Two year,No,2,Mailed check,0
62,83.2,5210.26,Month-to-month,DSL,0,Bank transfer,1
57,92.61,5267.05,Month-to-month,DSL,3,Credit card,0
6,56.7,361.88,One year,No,1,Credit card,0
28,34.72,1035.47,One year,No,1,Bank transfer,0
28,40.66,1159.92,One year,Fiber optic,4,Mailed check,0
44,51.33,2228.81,Month-to-month,No,3,Electronic check,0
30,83.61,2536.31,Month-to-month,Fiber optic,1,Bank transfer,1
62,59.83,3676.25,Month-to-month,Fiber optic,4,Mailed check,1
62,20.68,1295.92,Month-to-month,DSL,2,Mailed check,0
1,72.34,9.75,Month-to-month,Fiber optic,2,Mailed check,1
27,112.15,3029.54,Month-to-month,Fiber optic,3,Bank transfer,0
62,101.21,6334.35,Two year,No,0,Mailed check,0
3,102.52,292.62,Two year,Fiber optic,2,Credit card,1
70,99.51,7020.09,Month-to-month,No,1,Credit card,1
27,52.37,1568.74,Month-to-month,No,1,Electronic check,0
9,96.52,867.23,Month-to-month,DSL,0,Electronic check,1
62,34.32,2158.31,Month-to-month,DSL,0,Mailed check,1
37,85.77,3197.39,Month-to-month,Fiber optic,5,Mailed check,1
51,84.16,4303.25,Two year,DSL,2,Mailed check,0
44,22.56,1031.9,Month-to-month,Fiber optic,3,Electronic check,0
24,98.8,2358.72,Month-to-month,DSL,3,Credit card,1
59,110.32,6476.04,Month-to-month,DSL,4,Credit card,1
32,46.74,1419.41,Two year,DSL,3,Bank transfer,0
52,101.24,5247.29,Two year,DSL,3,Electronic check,0
62,28.24,1795.99,One year,DSL,1,Mailed check,0
58,80.0,4592.82,Month-to-month,No,3,Credit card,1
52,68.56,3577.7,Month-to-month,DSL,1,Bank transfer,0
12,74.59,888.95,Month-to-month,No,0,Credit card,1
39,112.62,4361.16,Month-to-month,No,1,Bank transfer,1
2,107.13,121.61,One year,No,1,Mailed check,0
3,98.51,363.67,Month-to-month,Fiber optic,1,Mailed check,1
56,47.37,2678.57,Month-to-month,Fiber optic,2,Credit card,1
59,111.18,6692.99,Month-to-month,DSL,2,Electronic check,1
2,29.75,113.47,Month-to-month,DSL,3,Credit card,0
2,105.33,277.69,Month-to-month,No,1,Electronic check,1
54,52.82,2764.6,Month-to-month,DSL,1,Credit card,1
1,25.38,-62.96,Month-to-month,No,2,Electronic check,1
19,86.94,1653.89,Month-to-month,Fiber optic,1,Mailed check,1
2,43.13,28.85,Two year,Fiber optic,3,Bank transfer,0
53,44.36,2316.86,Month-to-month,DSL,3,Electronic check,1
44,50.6,2352.92,Month-to-month,Fiber optic,2,Mailed check,1
32,26.37,903.29,Month-to-month,Fiber optic,4,Bank transfer,1
70,37.71,2593.11,One year,Fiber optic,1,Mailed check,0
32,20.51,538.14,One year,Fiber optic,1,Mailed check,0
68,64.54,4337.79,Month-to-month,DSL,1,Mailed check,0
55,28.43,1535.54,Month-to-month,DSL,5,Electronic check,1
56,88.27,4926.79,Two year,DSL,0,Mailed check,0
17,43.56,676.61,One year,DSL,5,Mailed check,1
38,114.36,4402.07,Month-to-month,DSL,2,Mailed check,1
24,107.13,2535.43,Month-to-month,DSL,4,Electronic check,1
69,48.94,3409.57,Month-to-month,Fiber optic,4,Credit card,1
70,98.32,6885.2,One year,Fiber optic,3,Mailed check,0
11,100.32,1150.49,Month-to-month,DSL,1,Credit card,1
16,118.66,1886.6,Month-to-month,Fiber optic,2,Mailed check,1
59,79.78,4661.01,Month-to-month,Fiber optic,1,Electronic check,1
70,28.2,1943.83,Month-to-month,Fiber optic,2,Credit card,0
3,84.68,224.83,One year,Fiber optic,0,Mailed check,0
20,82.5,1753.19,Two year,DSL,2,Credit card,1
59,83.84,4950.09,Month-to-month,DSL,2,Bank transfer,0
36,50.71,1825.96,One year,DSL,1,Credit card,0
19,105.97,2057.49,Month-to-month,DSL,0,Mailed check,1
67,115.95,7768.46,Two year,Fiber optic,1,Credit card,1
19,41.77,849.74,One year,No,0,Mailed check,0
20,28.82,557.7,Two year,DSL,2,Credit card,1
71,39.45,2777.52,Two year,Fiber optic,3,Credit card,0
52,102.06,5257.86,Month-to-month,No,2,Electronic check,1
33,87.66,2985.43,One year,DSL,0,Electronic check,0
40,83.6,3340.7,Month-to-month,No,1,Credit card,1
39,60.18,2288.29,Month-to-month,DSL,2,Electronic check,1
1,77.78,87.62,Month-to-month,No,4,Electronic check,1
11,50.79,526.16,Month-to-month,DSL,4,Bank transfer,1
57,67.72,3840.56,One year,DSL,1,Mailed check,0
50,99.31,4980.85,Month-to-month,Fiber optic,1,Mailed check,1
23,118.12,2792.9,Two year,No,1,Bank transfer,0
31,113.25,3515.79,One year,DSL,1,Credit card,0
42,113.39,4726.69,One year,Fiber optic,4,Electronic check,0
7,60.22,396.31,Month-to-month,Fiber optic,3,Mailed check,1
16,66.88,1102.89,Month-to-month,DSL,1,Bank transfer,1
60,90.56,5335.9,Month-to-month,Fiber optic,2,Mailed check,1
2,112.22,172.3,Month-to-month,Fiber optic,4,Credit card,1
1,34.2,44.83,One year,DSL,1,Bank transfer,0
48,50.42,2335.03,One year,Fiber optic,2,Credit card,0
12,33.92,391.47,Month-to-month,No,3,Credit card,1
69,81.2,5578.95,One year,Fiber optic,0,Bank transfer,1
37,50.63,1917.19,Month-to-month,No,3,Mailed check,1
32,52.61,1671.03,Month-to-month,DSL,1,Electronic check,1
9,27.09,303.16,Month-to-month,DSL,2,Electronic check,0
19,54.98,1048.56,Month-to-month,No,1,Bank transfer,1
48,106.25,5188.81,One year,No,2,Electronic check,0
3,43.31,60.55,One year,DSL,1,Credit card,0
20,89.52,1871.23,One year,DSL,1,Mailed check,0
24,82.96,1970.55,Month-to-month,No,1,Bank transfer,1
54,106.35,5816.51,Month-to-month,DSL,1,Credit card,0
33,33.23,1155.81,Month-to-month,DSL,1,Credit card,1
24,117.76,2683.62,Two year,Fiber optic,2,Mailed check,1
36,78.26,2841.42,Month-to-month,No,1,Mailed check,1
38,119.55,4592.68,Month-to-month,Fiber optic,2,Electronic check,1
25,111.15,2845.22,Two year,Fiber optic,0,Mailed check,1
18,42.15,699.9,One year,DSL,3,Bank transfer,1
66,25.62,1720.19,One year,Fiber optic,4,Bank transfer,0
54,45.56,2470.2,Two year,DSL,2,Mailed check,0
35,72.76,2568.04,Month-to-month,No,1,Mailed check,0
61,37.16,2316.68,Month-to-month,Fiber optic,2,Credit card,1
41,36.75,1564.42,Month-to-month,Fiber optic,5,Bank transfer,1
33,66.26,2153.77,Month-to-month,No,3,Electronic check,1
68,23.33,1599.49,Month-to-month,DSL,2,Credit card,0
33,32.19,1064.29,Month-to-month,No,0,Credit card,1
14,61.59,850.24,One year,DSL,2,Electronic check,0
21,26.31,545.38,Month-to-month,DSL,1,Electronic check,1
48,59.68,2874.22,Month-to-month,DSL,1,Mailed check,1
20,67.4,1317.91,One year,No,3,Mailed check,0
8,65.13,565.17,Month-to-month,No,1,Credit card,1
7,106.92,811.89,One year,DSL,4,Bank transfer,0
67,73.01,4850.39,Two year,DSL,3,Bank transfer,1
17,66.8,1201.48,One year,No,4,Credit card,0
33,61.07,1974.41,Month-to-month,DSL,3,Bank transfer,1
48,101.76,4929.48,Two year,Fiber optic,0,Bank transfer,1
59,109.51,6526.66,Month-to-month,Fiber optic,2,Electronic check,1
22,105.32,2312.41,One year,No,5,Mailed check,0
30,87.35,2580.11,Month-to-month,Fiber optic,2,Mailed check,0
38,33.74,1252.54,Month-to-month,Fiber optic,3,Credit card,1
51,47.69,2450.13,Two year,No,1,Electronic check,0
54,24.61,1426.97,Month-to-month,DSL,1,Bank transfer,1
8,113.08,820.02,One year,DSL,0,Credit card,0
27,86.08,2329.17,Month-to-month,DSL,2,Credit card,1
27,94.64,2550.78,One year,No,2,Bank transfer,0
21,51.16,1051.47,Two year,Fiber optic,2,Mailed check,0
30,104.57,3132.92,Month-to-month,DSL,2,Bank transfer,0
28,45.96,1259.78,Month-to-month,Fiber optic,4,Credit card,1
64,20.16,1352.68,One year,Fiber optic,2,Mailed check,0
69,57.64,4044.39,Two year,No,2,Credit card,0
61,77.08,4706.05,Month-to-month,DSL,2,Electronic check,0
48,67.87,3250.73,One year,Fiber optic,1,Mailed check,1
19,106.21,1993.29,Month-to-month,Fiber optic,1,Credit card,1
4,30.54,126.68,Month-to-month,DSL,3,Credit card,0
35,75.38,2730.77,Month-to-month,No,1,Electronic check,1
64,71.3,4557.88,One year,DSL,1,Bank transfer,0
49,48.14,2316.85,Two year,Fiber optic,0,Mailed check,0
17,102.22,1717.9,Month-to-month,Fiber optic,1,Credit card,0
44,95.28,4230.21,Month-to-month,Fiber optic,4,Credit card,1
30,93.29,2762.69,One year,DSL,3,Credit card,0
46,107.62,4948.8,Month-to-month,No,2,Credit card,1
6,92.28,577.31,Two year,DSL,2,Bank transfer,1
37,43.18,1565.72,Month-to-month,Fiber optic,0,Bank transfer,0
24,90.56,2085.13,Month-to-month,Fiber optic,1,Bank transfer,1
46,50.77,2281.86,Month-to-month,No,0,Mailed check,0
53,44.22,2300.59,Two year,Fiber optic,2,Bank transfer,1
60,27.3,1626.58,Two year,DSL,4,Mailed check,0
63,94.4,5949.6,Month-to-month,No,6,Bank transfer,1
32,91.1,2956.39,Month-to-month,DSL,3,Credit card,1
33,43.45,1372.49,Month-to-month,DSL,1,Electronic check,1
67,94.94,6394.75,One year,No,3,Mailed check,0
18,111.78,1993.57,One year,Fiber optic,3,Electronic check,1
25,30.8,680.8,Two year,DSL,2,Electronic check,1
54,43.26,2336.92,One year,Fiber optic,2,Credit card,0
58,95.03,5577.33,Two year,DSL,0,Credit card,0
67,47.45,3223.35,Month-to-month,DSL,2,Mailed check,1
46,82.47,3789.64,Month-to-month,DSL,2,Mailed check,1
24,28.12,731.08,One year,Fiber optic,2,Mailed check,0
32,65.22,2096.66,Month-to-month,Fiber optic,2,Bank transfer,1
47,93.91,4462.79,Month-to-month,Fiber optic,0,Bank transfer,1
23,88.65,1955.9,Month-to-month,DSL,4,Electronic check,1
66,101.51,6636.99,Month-to-month,Fiber optic,1,Mailed check,1
27,107.75,2945.57,Month-to-month,Fiber optic,3,Electronic check,1
2,97.32,271.6,Month-to-month,Fiber optic,1,Bank transfer,0
17,87.16,1502.56,Month-to-month,No,2,Electronic check,1
33,23.17,739.82,Month-to-month,Fiber optic,3,Electronic check,0
9,73.5,618.94,Month-to-month,Fiber optic,0,Mailed check,0
43,23.77,1006.33,One year,No,4,Mailed check,0
48,100.81,4899.41,Month-to-month,Fiber optic,5,Electronic check,1
39,52.07,2013.7,One year,Fiber optic,3,Bank transfer,1
42,76.24,3254.59,One year,Fiber optic,2,Electronic check,0
26,47.94,1279.19,One year,DSL,3,Bank transfer,0
50,98.25,4998.2,One year,Fiber optic,1,Electronic check,1
25,108.65,2726.27,Month-to-month,Fiber optic,4,Electronic check,1
24,59.86,1434.26,Month-to-month,DSL,1,Mailed check,0
13,106.29,1436.68,One year,DSL,1,Electronic check,0
60,46.71,2755.69,Month-to-month,No,3,Bank transfer,1
7,73.47,492.06,Month-to-month,Fiber optic,2,Electronic check,1
57,105.88,5950.94,Month-to-month,DSL,3,Electronic check,1
36,52.59,1830.46,Two year,DSL,3,Bank transfer,0
45,115.4,5289.36,Month-to-month,Fiber optic,5,Electronic check,1
20,32.19,678.37,Month-to-month,DSL,4,Electronic check,0
65,21.83,1350.25,Two year,DSL,2,Electronic check,0
8,110.41,943.05,One year,Fiber optic,2,Electronic check,1
16,26.86,394.65,Month-to-month,Fiber optic,0,Bank transfer,0
14,119.19,1700.69,Two year,DSL,3,Credit card,0
15,115.14,1758.4,Month-to-month,DSL,0,Bank transfer,1
66,33.7,2307.59,One year,Fiber optic,3,Bank transfer,0
32,73.76,2333.38,Month-to-month,DSL,1,Credit card,1
63,38.49,2387.99,Month-to-month,DSL,3,Bank transfer,0
51,62.82,3069.14,One year,DSL,2,Electronic check,0
25,26.14,647.47,Month-to-month,DSL,1,Bank transfer,1
58,42.39,2495.03,Month-to-month,DSL,3,Electronic check,1
63,56.33,3591.72,One year,No,2,Mailed check,1
62,63.86,4022.23,Month-to-month,DSL,2,Electronic check,1
22,117.75,2604.98,Two year,DSL,3,Electronic check,0
58,100.79,5870.86,Month-to-month,DSL,1,Bank transfer,0
58,93.74,5440.38,Month-to-month,Fiber optic,3,Bank transfer,1
49,73.7,3646.88,One year,No,3,Bank transfer,0
52,104.0,5361.28,Month-to-month,Fiber optic,2,Mailed check,0
42,53.93,2194.73,Month-to-month,No,2,Credit card,0
70,90.89,6320.86,Month-to-month,DSL,2,Electronic check,1
15,119.38,1801.36,Two year,No,2,Credit card,1
54,51.46,2713.97,Month-to-month,DSL,1,Credit card,0
60,87.4,5212.44,Month-to-month,DSL,1,Mailed check,1
8,104.43,805.39,Month-to-month,DSL,3,Electronic check,1
53,111.58,5952.87,Month-to-month,DSL,7,Electronic check,1
60,91.79,5540.6,Month-to-month,Fiber optic,6,Mailed check,1
5,48.36,245.33,One year,Fiber optic,1,Mailed check,1
68,52.63,3601.27,Two year,Fiber optic,0,Electronic check,1
6,22.08,155.99,Month-to-month,DSL,2,Mailed check,1
47,96.09,4497.98,Month-to-month,Fiber optic,4,Bank transfer,1
55,24.27,1307.94,Two year,DSL,0,Electronic check,0
40,106.47,4335.44,Month-to-month,Fiber optic,4,Credit card,1
52,31.87,1532.58,Month-to-month,DSL,0,Bank transfer,1
16,37.19,557.94,Two year,DSL,2,Credit card,0
13,67.65,869.3,One year,Fiber optic,1,Mailed check,1
30,93.79,2841.64,Month-to-month,No,3,Credit card,1
19,33.9,700.88,Month-to-month,Fiber optic,1,Bank transfer,1
17,64.01,1180.96,Month-to-month,DSL,2,Mailed check,1
63,68.29,4297.38,Month-to-month,DSL,1,Bank transfer,1
19,41.23,782.11,One year,DSL,1,Mailed check,1
58,31.56,1848.37,Month-to-month,Fiber optic,2,Electronic check,0
55,103.64,5673.76,One year,Fiber optic,3,Credit card,1
62,70.25,4296.08,Month-to-month,DSL,5,Credit card,1
23,21.44,488.26,Month-to-month,DSL,1,Electronic check,1
9,100.3,939.95,Month-to-month,Fiber optic,3,Electronic check,1
12,118.08,1404.81,One year,DSL,2,Credit card,1
1,80.59,101.26,One year,DSL,3,Electronic check,1
58,70.37,3988.07,Month-to-month,Fiber optic,1,Mailed check,1
1,107.84,108.76,Month-to-month,DSL,5,Credit card,1
34,115.25,3898.38,One year,No,3,Bank transfer,0
48,95.45,4518.02,Month-to-month,Fiber optic,3,Electronic check,1
1,64.55,97.41,Month-to-month,DSL,0,Mailed check,1
16,79.22,1359.84,Month-to-month,DSL,3,Credit card,0
61,90.09,5545.2,Month-to-month,DSL,1,Credit card,0
64,39.43,2576.04,One year,Fiber optic,3,Mailed check,1
63,64.72,4112.99,Month-to-month,No,2,Electronic check,1
69,102.98,7138.09,One year,DSL,4,Credit card,1
22,85.47,1790.42,Two year,No,4,Electronic check,1
67,61.12,4088.67,Two year,Fiber optic,3,Mailed check,0
26,86.34,2270.18,Month-to-month,No,4,Bank transfer,0
16,31.82,535.73,Month-to-month,Fiber optic,0,Mailed check,0
51,60.15,3131.22,Month-to-month,Fiber optic,1,Electronic check,1
57,99.31,5609.21,Month-to-month,Fiber optic,3,Credit card,1
29,42.05,1249.84,One year,No,2,Electronic check,0
69,38.6,2609.88,Two year,DSL,3,Electronic check,0
47,115.08,5398.26,One year,No,4,Bank transfer,1
62,40.99,2538.27,Month-to-month,Fiber optic,3,Credit card,1
69,46.09,3223.47,Month-to-month,Fiber optic,6,Bank transfer,0
16,116.96,1908.63,Month-to-month,No,0,Bank transfer,1
48,93.47,4492.62,One year,No,0,Mailed check,1
39,89.96,3400.82,Month-to-month,Fiber optic,3,Mailed check,0
33,105.29,3496.9,Month-to-month,DSL,2,Credit card,1
23,31.58,713.01,Month-to-month,No,3,Bank transfer,1
10,90.6,975.55,Two year,Fiber optic,3,Bank transfer,1
69,70.37,4913.13,One year,Fiber optic,1,Electronic check,0
34,102.92,3452.21,Two year,No,1,Electronic check,1
52,70.81,3711.45,One year,DSL,1,Mailed check,0
10,82.02,850.34,Month-to-month,DSL,4,Bank transfer,1
19,67.77,1314.17,Month-to-month,Fiber optic,1,Credit card,0
58,67.82,3953.3,Month-to-month,DSL,7,Bank transfer,1
1,96.8,128.3,Month-to-month,Fiber optic,4,Mailed check,1
69,82.86,5792.18,Two year,DSL,1,Credit card,0
4,83.33,305.74,Month-to-month,DSL,2,Bank transfer,1
16,65.03,995.16,Month-to-month,Fiber optic,1,Electronic check,0
24,73.11,1793.8,Month-to-month,Fiber optic,1,Bank transfer,1
2,94.57,94.98,Month-to-month,DSL,6,Mailed check,1
32,102.59,3315.71,One year,DSL,1,Mailed check,1
24,89.66,2175.59,Month-to-month,Fiber optic,1,Bank transfer,0
12,112.41,1231.61,Month-to-month,Fiber optic,0,Mailed check,1
50,102.03,5069.8,Month-to-month,No,4,Electronic check,1
35,76.19,2745.32,Month-to-month,DSL,2,Electronic check,1
33,87.14,2802.78,Month-to-month,Fiber optic,0,Electronic check,0
33,112.63,3727.45,Month-to-month,DSL,2,Bank transfer,1
61,81.92,4946.68,Two year,DSL,6,Mailed check,0
51,102.48,5191.07,Month-to-month,No,3,Electronic check,1
43,88.88,3917.7,Month-to-month,DSL,1,Credit card,0
12,75.19,908.5,One year,DSL,1,Mailed check,0
67,44.18,2986.16,Month-to-month,DSL,1,Mailed check,1
65,62.6,4063.36,Month-to-month,No,1,Credit card,1
33,116.77,3777.79,Two year,Fiber optic,3,Mailed check,1
40,85.78,3371.82,One year,Fiber optic,4,Electronic check,1
43,76.44,3345.82,One year,Fiber optic,0,Mailed check,0
44,113.3,4992.65,Month-to-month,DSL,2,Electronic check,1
29,78.65,2242.37,Month-to-month,No,3,Electronic check,0
13,72.61,942.8,Month-to-month,DSL,0,Electronic check,1
12,95.93,1184.25,Month-to-month,Fiber optic,4,Bank transfer,1
46,91.27,4220.99,Two year,Fiber optic,0,Mailed check,0
2,39.32,40.14,Month-to-month,DSL,4,Credit card,1
35,67.13,2270.81,Month-to-month,DSL,2,Bank transfer,1
8,67.25,517.66,Two year,Fiber optic,5,Bank transfer,0
26,57.82,1558.84,One year,DSL,1,Bank transfer,0
34,71.73,2481.52,Two year,DSL,1,Bank transfer,0
7,61.31,449.7,One year,DSL,3,Electronic check,0
68,39.93,2707.01,Month-to-month,Fiber optic,3,Electronic check,1
58,61.24,3525.89,One year,No,0,Credit card,0
29,27.23,781.99,Month-to-month,No,1,Mailed check,1
36,77.58,2831.92,Month-to-month,Fiber optic,2,Credit card,0
21,105.37,2263.18,One year,Fiber optic,2,Mailed check,1
36,92.53,3317.94,One year,DSL,3,Electronic check,1
10,56.04,687.21,Two year,DSL,0,Mailed check,0
24,28.71,693.59,Two year,No,1,Mailed check,0
64,40.21,2556.41,Two year,Fiber optic,1,Bank transfer,0
49,74.55,3726.69,Month-to-month,Fiber optic,1,Credit card,1
36,40.71,1363.49,One year,Fiber optic,2,Bank transfer,0
24,74.4,1809.54,One year,No,2,Bank transfer,0
23,43.16,989.04,Two year,No,0,Bank transfer,0
62,104.89,6575.74,Month-to-month,DSL,3,Bank transfer,1
37,59.73,2240.15,Month-to-month,DSL,2,Electronic check,0
12,44.56,541.62,Two year,Fiber optic,1,Credit card,1
55,101.23,5600.93,Month-to-month,DSL,2,Bank transfer,1
13,54.28,652.91,Month-to-month,No,1,Credit card,1
23,31.15,764.76,Month-to-month,DSL,2,Bank transfer,1
30,77.04,2244.0,Month-to-month,Fiber optic,0,Electronic check,1
17,78.16,1346.58,One year,Fiber optic,1,Bank transfer,0
62,91.47,5672.89,Month-to-month,Fiber optic,2,Mailed check,1
13,44.02,484.13,One year,DSL,0,Electronic check,0
59,64.38,3801.7,Month-to-month,No,2,Credit card,0
19,48.24,930.6,Month-to-month,DSL,1,Mailed check,0
49,28.1,1343.93,Month-to-month,Fiber optic,3,Mailed check,0
